UA;SU;SUBP1;SUBP2;SUBP3;SUBP4;SUBP5;SUBP6;SUBP7;SUBP8;SUBP9;SUBP10;CONT_TOCO;FLORESTA;ARVORES;NATURAL;AGRICULTURA;OUTRAS
ES_5;1;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_5;2;45;45;45;45;45;45;45;45;55;55;0;0.0;0.0;0.0;0.8;0.2
ES_5;3;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_5;4;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_50;1;42;42;42;42;42;42;42;42;42;42;0;0.0;0.0;0.0;1.0;0.0
ES_50;2;42;42;42;42;42;42;42;42;42;42;0;0.0;0.0;0.0;1.0;0.0
ES_50;3;42;42;42;42;42;42;42;42;42;42;0;0.0;0.0;0.0;1.0;0.0
ES_50;4;42;42;42;42;42;42;42;42;42;42;0;0.0;0.0;0.0;1.0;0.0
ES_51;1;51;51;51;51;42;42;42;42;42;42;0;0.0;0.0;0.0;0.6;0.4
ES_51;2;51;51;51;51;51;51;51;51;45;45;0;0.0;0.0;0.0;0.2;0.8
ES_51;3;58;113;19;19;19;19;19;19;19;19;0;0.9;0.0;0.0;0.0;0.1
ES_51;4;51;51;51;51;51;51;51;51;51;51;0;0.0;0.0;0.0;0.0;1.0
ES_53;1;112;112;112;112;112;112;112;112;112;112;0;1.0;0.0;0.0;0.0;0.0
ES_53;2;51;51;51;113;113;51;112;112;112;112;0;0.6;0.0;0.0;0.0;0.4
ES_53;3;42;42;42;42;42;42;42;42;42;42;0;0.0;0.0;0.0;1.0;0.0
ES_53;4;42;42;42;42;42;42;42;42;42;42;0;0.0;0.0;0.0;1.0;0.0
ES_54;1;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_54;2;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_54;3;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_54;4;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_55;1;112;112;112;112;112;112;112;112;112;112;0;1.0;0.0;0.0;0.0;0.0
ES_55;2;112;112;112;112;112;112;112;112;112;112;0;1.0;0.0;0.0;0.0;0.0
ES_55;3;112;112;112;112;112;112;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_55;4;112;112;112;112;112;112;51;51;51;51;0;0.6;0.0;0.0;0.0;0.4
ES_56;1;45;45;45;45;113;113;113;113;113;113;0;0.6;0.0;0.0;0.4;0.0
ES_56;2;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_56;3;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_56;4;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_57;1;42;45;55;55;19;19;19;19;19;19;0;0.6;0.0;0.0;0.2;0.2
